term,estimate
(Intercept),10.756840309276363
AGEP,0
SEX2,-0.06153706293420726
RAC1P2,-0.24516077424963434
RAC1P3,-0.35156946526470406
RAC1P4,-0.4591430293149399
RAC1P5,-0.5834824642916767
RAC1P6,0.10087243243627506
RAC1P7,-0.06547541449481677
RAC1P8,-0.20853089989243856
RAC1P9,0
MAR2,-0.14711252399022354
MAR3,-0.29522746502025393
MAR4,-0.17803993194455578
MAR5,-0.10176636205789555
SCHL02,0.0682475437757915
SCHL03,0
SCHL04,-0.07116453298164577
SCHL05,0
SCHL06,0
SCHL07,0
SCHL08,-0.04715100948045715
SCHL09,0.11937366881290833
SCHL10,-0.04094446742784732
SCHL11,0.018285564959991615
SCHL12,-0.08274086067845075
SCHL13,0.06528090856215249
SCHL14,-0.03275761925404941
SCHL15,-0.03567977298971644
SCHL16,0
SCHL17,-0.03816612047225363
SCHL18,0.0475690494040006
SCHL19,0.08112370413313731
SCHL20,0.072794916863158
SCHL21,0.36366612593672626
SCHL22,0.518022461948079
SCHL23,0.812834794385978
SCHL24,0.7762544112732507
SCHLbb,0
ESR2,-0.1498202364546342
ESR3,-0.3288283092537477
ESR4,-0.013343693763775439
ESR6,-0.31891023545504293
ESRb,0
NP,0.08574342587808771
TEN2,-0.18390180533879252
TEN3,-0.49764854084189436
TEN4,-0.6896277488105649
VEH,0.16579578199883316
DIS2,0.13653292336957454
