income_decile,n,mean_income,median_income,mean_age,mean_np,mean_veh
1,1482,12894.658569500674,13350,47.27125506072875,2.406207827260459,1.2550607287449393
2,1482,30811.311740890687,30575,46.10796221322537,2.7537112010796223,1.6322537112010795
3,1481,45784.21607022282,45600,43.858203916272785,2.887913571910871,1.9074949358541526
4,1481,60192.126941255905,60000,43.529372045914926,3.0844024307900066,2.076299797434166
5,1481,75088.68197164078,75000,41.040513166779206,3.264010803511141,2.261985145172181
6,1481,92105.02363268062,92000,40.4442943956786,3.4341661039837947,2.3814989871708305
7,1481,112443.85820391627,112000,40.550979068197165,3.4692775151924375,2.459149223497637
8,1481,139661.87981093855,139000,38.61917623227549,3.6522619851451723,2.5793382849426063
9,1481,183016.56313301824,181000,39.408507765023636,3.7785280216070225,2.662390276839973
10,1481,360260.65496286296,296500,39.922349763673196,3.8352464550979066,2.648885887913572
